cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtcat,prtvtdbe,prtvtdbg,prtvtgch,prtvtbcy,prtvtecz,prtvede1,prtvede2,prtvtddk,prtvtgee,prtvtees,prtvtdfi,prtvtdfr,prtvtcgb,prtvtahr,prtvtfhu,prtvtcie,prtvtcis,prtvtcit,prtvblt1,prtvblt2,prtvblt3,prtvtalv,prtvtme,prtvtgnl,prtvtbno,prtvtdpl,prtvtcpt,prtvtrs,prtvtcse,prtvtfsi,prtvtdsk,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtcldat,prtcldbe,prtcldbg,prtclgch,prtclbcy,prtclecz,prtclede,prtclddk,prtclgee,prtclfes,prtclefi,prtclffr,prtclcgb,prtclahr,prtclghu,prtcleie,prtclcis,prtcldit,prtclblt,prtclalv,prtclme,prtclfnl,prtclbno,prtclhpl,prtclept,prtclrs,prtclcse,prtclfsi,prtcldsk,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdncy,rlgdnade,rlgdnafi,rlgdngb,rlgdnhu,rlgdnie,rlgdnais,rlgdnlt,rlgdnlv,rlgdme,rlgdnnl,rlgdnno,rlgdnapl,rlgdnrs,rlgdnase,rlgdnask,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdecy,rlgdeade,rlgdeafi,rlgdegb,rlgdehu,rlgdeie,rlgdeais,rlgdelt,rlgdelv,rlgdeme,rlgdenl,rlgdeno,rlgdeapl,rlgders,rlgdease,rlgdeask,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipd,brncntr,cntbrthd,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntc,mocntr,mbrncntc,admdw,vteurmmb,vteumbgb,vteubcmb,evpdemp,pdempyr,lvpntyr,evlvptn,lvptnyr,evmar,maryr,bthcld,nbthcld,fcldbrn,ycldbyr,ngchld,ygcdbyr,ggchld,admge,ageadlt,agemage,ageoage,iaglptn,iagmr,iagpnt,iagrtr,tygledu,tyglvp,tygmr,tygpnt,tygrtr,tolvpnt,tochld,towkht,anvcld,alvgptn,acldnmr,aftjbyc,advcyc,plnftr,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,agea,yrbrn,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,rshpsts,rshpsgb,lvgptnea,dvrcdeva,marsts,marstgb,maritalb,chldhhe,domicil,edulvlb,eisced,edlveat,edlvebe,edlvebg,edlvdch,edlvgcy,edlvdcz,edubde1,eduade2,eduade3,edlvddk,edlvdee,edlvges,edlvdfi,edlvdfr,educgb1,edubgb2,edagegb,edlvehr,edlvdhu,edlvdie,edlvdis,edlveit,edlvdlt,edlvdlv,edlvdme,edlvenl,edlvdno,edlvgpl,edlvdpt,edlvdrs,edlvdse,edlvesi,edlvdsk,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,iincsrc,edulvlpb,eiscedp,edlvpeat,edlvpebe,edlvpebg,edlvpdch,edlvpgcy,edlvpdcz,edupbde1,edupade2,edupade3,edlvpddk,edlvpdee,edlvpfes,edlvpdfi,edlvpdfr,edupcgb1,edupbgb2,edagepgb,edlvpehr,edlvpdhu,edlvpdie,edlvpdis,edlvpeit,edlvpdlt,edlvpdlv,edlvpdme,edlvpenl,edlvpdno,edlvpfpl,edlvpdpt,edlvpdrs,edlvpdse,edlvpesi,edlvpdsk,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,isco08p,emprelp,wkhtotp,edulvlfb,eiscedf,edlvfeat,edlvfebe,edlvfebg,edlvfdch,edlvfgcy,edlvfdcz,edufbde1,edufade2,edufade3,edlvfddk,edlvfdee,edlvffes,edlvfdfi,edlvfdfr,edufcgb1,edufbgb2,edagefgb,edlvfehr,edlvfdhu,edlvfdie,edlvfdis,edlvfeit,edlvfdlt,edlvfdlv,edlvfdme,edlvfenl,edlvfdno,edlvffpl,edlvfdpt,edlvfdrs,edlvfdse,edlvfesi,edlvfdsk,emprf14,occf14b,edulvlmb,eiscedm,edlvmeat,edlvmebe,edlvmebg,edlvmdch,edlvmgcy,edlvmdcz,edumbde1,edumade2,edumade3,edlvmddk,edlvmdee,edlvmfes,edlvmdfi,edlvmdfr,edumcgb1,edumbgb2,edagemgb,edlvmehr,edlvmdhu,edlvmdie,edlvmdis,edlvmeit,edlvmdlt,edlvmdlv,edlvmdme,edlvmenl,edlvmdno,edlvmfpl,edlvmdpt,edlvmdrs,edlvmdse,edlvmesi,edlvmdsk,emprm14,occm14b,atncrse,anctry1,anctry2,frprtpl,gvintcz,poltran,ifredu,ifrjob,evfredu,evfrjob,fvgabc,infqbst,grspnum,grsplet,netinum,netilet,grspfr,netifr,frlgrsp,frlneti,occinfr,topinfr,btminfr,wltdffr,recskil,recexp,recknow,recimg,recgndr,sofrdst,sofrwrk,sofrpr,sofrprv,ppldsrv,jstprev,pcmpinj,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,region,regunit,dweight,pspwght,pweight,anweight
FR,120,3,6666,7,6,6,1,2,2,3,2,3,6,3,2,2,6,6,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,2,6,3,5,4,2,3,1,1,5,1,10,2,2,2,7,7,7,7,6,5,3,2,2,3,2,7,8,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,1,,,1,1969,1969,1,1969,1,1970,1,2,1971,1974,4,1995,2,1,18,30,65,25,28,28,61,18,18,18,20,45,25,45,55,5,5,5,2,5,5,2,1,2,6,6,6,6,6,6,,,,,,,,72,1946,1942,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,1,2,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2007,1,66666,1,4,2,66666,8,3,39,1,50,58,4,2514,2,2,6,6,3,4,9,1,4,421,5,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,3,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,66,2,11050,555555,2,2,3,8,4,3,3,2,2,666666666,66,3200,66,6,0,666666666,666666666,1,1,-3,4,3,3,1,1,1,1,1,2,4,4,4,4,3,5,2,1,4,5,5,3,4,4,1,4,4,4,5,5,5,3,1,4,4,FR10,2,1.119028687,0.914294422,2.726686716,2.492994454
FR,0,5,180,8,5,6,3,2,2,2,3,3,7,8,5,5,6,6,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,2,7,9,5,4,6,6,4,3,2,5,5,7,2,3,3,5,5,6,8,7,6,3,1,2,2,3,10,10,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,1,,,1,2007,2008,2,6666,2,6666,2,66,6666,6666,66,6666,6,2,30,50,75,0,0,30,65,25,0,15,19,30,25,50,60,1,1,1,1,2,3,1,2,6,6,6,6,6,6,6,,,,,,,,30,1989,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,2,2,6,,6,2,1,313,4,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,20,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,5,2,66666,6,4,35,1,37,86,2,5321,2,1,1,1,3,1,2,2,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,800,7,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,1,1,720,7,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,3,66,1,11050,555555,4,3,3,9,7,8,8,1,2,1550,66,1572,66,0,0,666666666,666666666,-2,0,-2,-2,3,3,3,2,2,3,2,2,2,3,3,3,1,4,1,3,2,3,4,1,3,1,1,2,2,1,4,1,3,2,3,1,1,FR10,2,0.537166178,0.741583705,2.726686716,2.022066437
FR,180,5,120,1,4,1,1,1,1,1,4,1,5,1,1,1,0,1,1,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,1,2,2,1,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,4,2,6,0,0,0,5,2,1,1,5,3,77,1,1,1,88,8,6,7,6,4,8,2,1,3,3,5,2,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,88,,,1,1957,1964,1,1964,1,1964,1,4,1964,1979,4,1984,1,2,0,35,0,0,0,0,0,888,888,18,888,45,888,50,888,3,3,3,3,3,5,3,1,2,1,6,6,6,6,6,,,,,,,,77,1942,1942,1966,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,1,,2,2,66,,1,6,3,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2001,2,0,6,1,2,66666,10,10,666,2,60,33,5,3322,2,1,2,2,3,4,8,2,4,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,6,113,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,66,2,11050,555555,1,1,1,7,5,0,2,2,7,666666666,66,888888888,4,6,-2,666666666,2600,-2,0,-2,4,2,2,2,2,1,2,2,2,5,4,4,4,2,6,1,4,4,5,6,1,1,1,1,3,6,3,2,2,3,2,2,5,2,FRC1,2,1.712321401,1.218063235,2.726686716,3.321276843
FR,0,5,120,5,5,10,4,1,1,1,1,0,10,10,0,0,0,0,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,7,0,0,10,10,10,1,1,5,1,5,3,3,3,0,0,8,7,3,2,1,1,3,4,2,5,5,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,2,,,1,2013,2013,1,2013,2,6666,1,2,2015,2016,66,6666,6,1,18,50,65,18,25,0,55,15,17,18,17,55,25,35,50,5,5,5,5,5,0,4,2,1,1,2,6,6,6,6,,,,,,,,24,1995,1988,2015,2016,6666,6666,6666,6666,,,,,,,,1,2,2,66,66,66,66,,,,,,,,2,,1,2,66,,2,6,1,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,11,0,0,1,0,1,0,0,1,0,0,0,0,8,8,2,1,2017,1,66666,2,2,1,10,10,0,40,1,40,93,4,3422,2,1,1,1,3,5,3,3,5,313,4,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,5414,1,40,113,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,6,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,1,6,1,11050,555555,1,1,1,10,5,10,0,3,2,666666666,66,937,66,6,-1,666666666,1000,-2,4,-4,3,3,1,2,4,4,1,2,2,5,4,1,1,2,2,1,3,2,4,1,1,8,1,1,1,6,1,6,6,4,1,1,4,1,FRD2,2,1.036065817,0.925802886,2.726686716,2.524374432
FR,15,1,6666,3,3,5,4,1,1,1,1,3,4,5,3,3,3,3,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,5,3,3,3,0,3,6,1,1,5,1,8,1,2,2,7,8,5,5,2,2,2,2,3,5,1,3,7,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,7,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,1,,,1,1998,1996,1,1999,1,1999,1,3,2001,2003,0,6666,6,2,20,40,70,25,0,30,60,16,20,25,25,50,25,45,65,4,4,4,4,3,10,1,1,6,6,6,6,6,6,6,,,,,,,,50,1968,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,1,2,1,,1,1,3,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,1,0,0,0,0,0,0,0,66,5,2,1,2008,2,0,6,8,2,66666,10,7,666,2,777,90,5,2652,2,1,1,1,3,4,2,3,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,7,0,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,66,2,11050,11051,1,2,1,5,0,3,3,2,2,666666666,66,850,66,6,-1,666666666,1200,-1,3,-3,3,3,3,2,4,1,2,3,2,5,4,4,3,1,5,1,3,3,2,6,2,2,3,4,3,3,4,1,3,4,3,3,4,4,FRH0,2,0.56690681,2.774719238,2.726686716,7.565790088
FR,20,5,180,6,6,4,1,2,3,2,2,6,9,8,4,3,4,7,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,3,6,7,3,4,7,7,1,1,5,1,7,2,2,2,7,6,7,8,5,3,4,1,1,3,2,10,8,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,1,,,1,2003,2003,1,2004,1,2014,1,2,2007,2009,66,6666,6,1,18,40,75,24,29,27,61,17,20,24,24,55,30,44,61,3,5,5,5,5,2,4,1,2,1,1,6,6,6,6,,,,,,,,41,1977,1978,2007,2009,6666,6666,6666,6666,,,,,,,,1,2,2,66,66,66,66,,,,,,,,1,,1,2,66,,1,6,3,710,7,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,22,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,4,1,7,7,8,35,1,35,85,2,2411,2,2,6,6,3,1,9,2,1,520,5,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,3221,1,35,113,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,2,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,3,1,11050,555555,3,2,2,10,9,2,2,1,2,2400,66,2000,66,-1,-1,2600,2200,0,3,-3,2,4,3,2,3,3,1,2,1,5,4,2,2,4,6,1,3,3,3,4,2,2,2,5,2,5,2,5,5,4,2,1,2,1,FRH0,2,1.140544176,0.611562133,2.726686716,1.667538344
FR,30,5,90,6,6,5,3,1,2,2,2,2,4,6,1,2,1,4,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,2,6,6,4,3,7,6,7,3,1,5,1,4,2,2,2,5,6,5,7,7,2,3,2,3,3,3,8,5,1,1,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,8,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,1,2,,,1,2004,2007,1,2007,2,6666,1,1,2016,6666,66,6666,6,1,18,40,75,20,28,26,45,16,18,22,19,40,22,40,0,5,5,5,5,4,6,3,2,1,2,6,6,6,6,6,,,,,,,,28,1990,1980,2016,6666,6666,6666,6666,6666,,,,,,,,1,2,66,66,66,66,66,,,,,,,,3,,6,2,6,,6,6,4,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,15,0,0,1,0,0,0,0,0,0,0,0,0,66,3,2,1,2018,1,66666,1,4,2,66666,10,8,42,1,55,46,4,2433,2,1,2,1,3,1,4,2,5,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,6210,1,5,321,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,5,8888,88,,,,,,,,,,,,,,8888,,,,,,,,,,,,,,,,,,,,1,5,2,11050,13040,3,2,1,5,7,4,3,3,2,666666666,66,1050,66,6,-1,666666666,1300,0,0,0,1,2,3,3,4,4,4,2,2,4,4,3,4,1,5,4,4,5,3,6,1,4,1,1,3,4,2,1,3,6,4,1,4,1,FRL0,2,1.140319109,1.296133518,2.726686716,3.534150046
FR,60,5,360,4,6,6,4,3,1,2,1,2,2,4,0,0,1,5,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,6,5,7,2,1,2,2,5,2,1,3,3,88,2,4,4,3,5,4,8,6,3,3,2,3,1,3,8,8,2,66,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,10,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,0,2,1,6666,1,6666,3,1,,,1,1986,1986,1,1986,1,1990,1,1,1990,6666,0,6666,6,2,0,40,75,25,30,30,0,18,24,25,20,55,28,60,64,3,5,5,4,3,5,2,2,1,6,6,6,6,6,6,,,,,,,,55,1964,1961,6666,6666,6666,6666,6666,6666,,,,,,,,1,66,66,66,66,66,66,,,,,,,,1,,1,2,66,,1,1,3,520,5,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,3,2,66666,10,6,37,1,38,21,4,4411,2,1,1,2,3,1,77,2,1,313,4,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,3119,1,39,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,6,213,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,3,1,11050,555555,3,2,2,7,2,7,2,1,7,777777777,77,777777777,77,-1,-2,777777777,777777777,8,0,-1,1,4,4,2,2,2,3,2,4,5,2,4,4,1,5,1,1,1,1,5,3,1,1,1,1,4,2,2,1,3,1,1,1,1,FR10,2,1.145401716,1.162004828,2.726686716,3.16842313
FR,20,5,120,4,6,5,3,5,2,1,2,3,6,7,4,4,5,7,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,1,4,2,2,3,7,8,1,1,5,1,5,1,1,1,5,10,10,6,5,3,2,2,3,3,3,7,5,1,6,,,,,,,,,,,,,,,,,,,,6,66,,,,,,,,,,,,,,,,,,,,10,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,ARA,2,2,MA,2,MA,3,1,,,1,2017,2018,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,19,40,60,18,23,25,55,18,16,18,15,40,30,46,54,3,4,4,3,5,5,1,2,6,6,6,6,6,6,6,,,,,,,,22,1997,6666,6666,6666,6666,6666,6666,6666,,,,,,,,66,66,66,66,66,66,66,,,,,,,,66,,2,2,6,,6,2,1,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,1,2,66666,6,7,21,1,21,85,3,3412,2,1,1,1,3,1,1,3,66,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,113,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,4,510,5,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,2,4,2,21130,555555,3,2,3,8,5,5,3,1,2,1100,66,1000,66,-2,-2,1300,1200,-2,0,-3,-2,3,3,3,2,2,2,3,2,3,3,2,3,3,5,1,4,2,2,4,3,2,2,3,3,5,3,4,4,3,1,4,4,4,FRL0,2,0.565068603,0.587792277,2.726686716,1.602725394
FR,45,5,480,7,6,5,3,3,3,3,3,7,6,3,3,5,8,8,2,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,2,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,6,1,7,5,4,6,4,7,1,1,5,1,9,1,1,2,9,7,5,8,5,1,2,2,2,2,3,3,8,2,66,,,,,,,,,,,,,,,,,,,,2,66,,,,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GER,ENG,2,1,6666,1,6666,1,1,,,2,6666,0,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,20,35,60,25,29,35,67,16,16,18,17,55,29,40,65,5,5,5,5,5,6,3,1,2,1,6,6,6,6,6,,,,,,,,19,1999,1969,1951,6666,6666,6666,6666,6666,,,,,,,,3,3,66,66,66,66,66,,,,,,,,66,,2,2,6,,6,2,4,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,0,0,0,0,0,0,0,0,66,2,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,3,4,8,1,9,6666,66,,,,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,313,4,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,4,323,4,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,3,66,2,11050,11058,2,2,3,10,7,3,2,6,6,666666666,66,666666666,66,6,6,666666666,666666666,6,2,-2,3,3,4,2,4,4,1,4,1,4,4,5,4,4,3,1,4,4,4,6,2,4,2,2,4,5,4,5,5,5,2,4,6,3,FRB0,2,1.67751646,1.927546263,2.726686716,5.255814789
