SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%)
65.45735,0.1391,14.0256,2.22,0.4633,0.0
66.06635,0.1116,14.16,2.28,0.5703,0.0146
69.4869,0.0977,14.4672,2.07,0.3407,0.0432
68.96925,0.0989,13.9584,2.53,0.4505,0.0
63.0315,0.1014,14.6784,2.84,0.802,0.0128
64.7773,0.1903,15.312000000000001,2.83,1.0071,0.0808
65.5284,0.1334,14.255999999999998,2.47,0.5897,0.0411
65.55885,0.1337,15.0816,2.64,0.7986,0.0343
63.2142,0.1684,15.2448,2.78,0.7774,0.0459
64.66565,0.1152,14.112,2.46,0.4482,0.0
63.7623,0.1622,15.1872,2.85,0.8818,0.0414
67.09,0.1575,14.16,2.6,0.0,0.3816
66.59,0.0991,13.95,2.17,0.0199,0.3715
65.45,0.1106,14.32,2.31,0.0,0.4077
66.62,0.1464,14.43,2.25,0.0,0.4408
67.25,0.1571,14.5,2.65,0.0,0.4116
59.47,0.4874,17.2,3.76,0.4665,1.76
58.82,0.4358,16.36,3.49,0.3327,1.3357
59.52,0.5979,17.11,3.94,0.6042,2.05
60.98,0.2886,16.39,3.09,0.159,0.9713
59.16,0.4143,18.15,3.37,0.3902,1.44
59.98,0.5473,17.13,3.78,0.5414,1.83
58.62,0.5151,17.18,4.38,0.5367,1.96
60.4,0.3977,16.98,3.3,0.3327,1.3402
61.42,0.4001,17.0,3.43,0.3232,1.3895
58.79,0.6051,16.49,4.14,0.7763,2.13
60.63,0.4502,17.2,3.21,0.3958,1.3725
60.66,0.4489,17.22,3.44,0.3978,1.51
60.06,0.2713,15.54,3.76,1.0672,0.1499
60.43,0.3017,16.42,3.46,1.1763,0.2365
61.1,0.4073,16.38,4.31,1.2589,0.3756
60.73,0.3265,15.91,3.62,1.2388,0.2518
59.44,0.2919,16.56,3.46,1.0721,0.1845
58.64,0.6132,16.56,3.72,1.84,0.6282
60.84,0.3925,16.26,3.55,1.2335,0.2844
60.46,0.3208,15.84,3.77,1.0861,0.1661
60.31,0.3817,16.53,3.01,1.2241,0.3077
61.21,0.3144,16.79,3.64,1.0775,0.2526
59.11,0.4139,16.17,4.02,1.3839,0.3321
59.68,0.3434,16.38,3.32,1.1639,0.2479
61.48,0.2667,16.04,3.66,1.2203,0.1629
63.0139,0.2356,16.0032,3.37,0.981,0.1371
61.6201,0.2099,15.5424,3.71,0.7657,0.0892
62.5998,0.2793,15.9072,3.91,0.9615,0.1334
60.8121,0.4472,16.3392,4.2,1.1931,0.33399999999999996
61.306999999999995,0.2172,15.4656,4.14,0.7629,0.0883
61.8524,0.3787,16.0128,3.52,0.9647,0.2535
64.3774,0.1765,16.4736,2.53,0.9587,0.1178
60.9636,0.2378,16.368,2.69,1.016,0.2596
60.5798,0.4045,16.0128,3.21,1.1443,0.3188
60.3071,0.2537,15.84,3.92,0.8884,0.1321
62.5796,0.2405,15.0816,3.93,0.7489,0.1703
61.97,0.1645,16.16,3.87,0.0044,0.5937
